,track.track_id,track.track_name,track.track_name_translation_list,track.track_rating,track.commontrack_id,track.instrumental,track.explicit,track.has_lyrics,track.has_subtitles,track.has_richsync,track.num_favourite,track.album_id,track.album_name,track.artist_id,track.artist_name,track.track_share_url,track.track_edit_url,track.restricted,track.updated_time,track.primary_genres.music_genre_list
0,265388010,Stumblin' In,[],92,165499735,0,0,1,1,0,6,59451910,Stumblin' In - Single,57673352,Cyril,https://www.musixmatch.com/lyrics/CYRIL-15/Stumblin-In?utm_source=application&utm_campaign=api&utm_medium=Demirro%3A1409621126359,https://www.musixmatch.com/lyrics/CYRIL-15/Stumblin-In/edit?utm_source=application&utm_campaign=api&utm_medium=Demirro%3A1409621126359,0,2023-11-21T11:38:35Z,"[{'music_genre': {'music_genre_id': 17, 'music_genre_parent_id': 34, 'music_genre_name': 'Dance', 'music_genre_name_extended': 'Dance', 'music_genre_vanity': 'Dance'}}]"
1,259898603,Vois sur ton chemin (Techno Mix),[],79,161564397,0,0,1,1,1,24,57817074,Vois sur ton chemin (Techno Mix),24485281,BENNETT,https://www.musixmatch.com/lyrics/Bennett/Vois-sur-ton-chemin-Techno-Mix?utm_source=application&utm_campaign=api&utm_medium=Demirro%3A1409621126359,https://www.musixmatch.com/lyrics/Bennett/Vois-sur-ton-chemin-Techno-Mix/edit?utm_source=application&utm_campaign=api&utm_medium=Demirro%3A1409621126359,0,2023-08-08T20:49:34Z,"[{'music_genre': {'music_genre_id': 1050, 'music_genre_parent_id': 17, 'music_genre_name': 'Techno', 'music_genre_name_extended': 'Dance / Techno', 'music_genre_vanity': 'Dance-Techno'}}]"
2,272421778,Whatever,[],98,169579542,0,1,1,1,1,1,61126904,Whatever,58560003,Kygo feat. Ava Max,https://www.musixmatch.com/lyrics/Kygo-Ava-Max/Whatever?utm_source=application&utm_campaign=api&utm_medium=Demirro%3A1409621126359,https://www.musixmatch.com/lyrics/Kygo-Ava-Max/Whatever/edit?utm_source=application&utm_campaign=api&utm_medium=Demirro%3A1409621126359,0,2024-01-21T00:27:26Z,[]
3,263857808,Overdrive (feat. Norma Jean Martine),[],78,164103737,0,0,1,1,1,7,59258216,Overdrive (feat. Norma Jean Martine) - Single,57346700,Ofenbach feat. Norma Jean Martine,https://www.musixmatch.com/lyrics/Ofenbach-Norma-Jean-Martine/Overdrive-Norma-Jean-Martine?utm_source=application&utm_campaign=api&utm_medium=Demirro%3A1409621126359,https://www.musixmatch.com/lyrics/Ofenbach-Norma-Jean-Martine/Overdrive-Norma-Jean-Martine/edit?utm_source=application&utm_campaign=api&utm_medium=Demirro%3A1409621126359,0,2023-11-05T21:35:43Z,"[{'music_genre': {'music_genre_id': 7, 'music_genre_parent_id': 34, 'music_genre_name': 'Electronic', 'music_genre_name_extended': 'Electronic', 'music_genre_vanity': 'Electronic'}}]"
4,265259301,Houdini,"[{'track_name_translation': {'language': 'u0', 'translation': 'Houdini'}}]",99,165469607,0,0,1,1,1,72,59440698,Houdini,33491593,Dua Lipa,https://www.musixmatch.com/lyrics/Dua-Lipa/Houdini?utm_source=application&utm_campaign=api&utm_medium=Demirro%3A1409621126359,https://www.musixmatch.com/lyrics/Dua-Lipa/Houdini/edit?utm_source=application&utm_campaign=api&utm_medium=Demirro%3A1409621126359,0,2023-11-15T07:59:25Z,"[{'music_genre': {'music_genre_id': 14, 'music_genre_parent_id': 34, 'music_genre_name': 'Pop', 'music_genre_name_extended': 'Pop', 'music_genre_vanity': 'Pop'}}]"
5,253266374,Komet,[],83,157288300,0,0,1,1,1,33,56347339,Komet,55904597,Udo Lindenberg feat. Apache 207,https://www.musixmatch.com/lyrics/Udo-Lindenberg-Apache-207/Komet?utm_source=application&utm_campaign=api&utm_medium=Demirro%3A1409621126359,https://www.musixmatch.com/lyrics/Udo-Lindenberg-Apache-207/Komet/edit?utm_source=application&utm_campaign=api&utm_medium=Demirro%3A1409621126359,0,2023-08-11T02:13:41Z,"[{'music_genre': {'music_genre_id': 14, 'music_genre_parent_id': 34, 'music_genre_name': 'Pop', 'music_genre_name_extended': 'Pop', 'music_genre_vanity': 'Pop'}}]"
6,258292930,Lose Control,[],99,160490732,0,0,1,1,1,98,57454642,I've Tried Everything But Therapy (Part 1),38425803,Teddy Swims,https://www.musixmatch.com/lyrics/Teddy-Swims/Lose-Control?utm_source=application&utm_campaign=api&utm_medium=Demirro%3A1409621126359,https://www.musixmatch.com/lyrics/Teddy-Swims/Lose-Control/edit?utm_source=application&utm_campaign=api&utm_medium=Demirro%3A1409621126359,0,2023-08-09T14:50:27Z,"[{'music_genre': {'music_genre_id': 14, 'music_genre_parent_id': 34, 'music_genre_name': 'Pop', 'music_genre_name_extended': 'Pop', 'music_genre_vanity': 'Pop'}}]"
7,272421794,One By One (feat. Oaks),[],89,169579551,0,0,1,1,0,0,61126911,One By One (feat. Oaks),58560007,Robin Schulz feat. Topic & Oaks,https://www.musixmatch.com/lyrics/Robin-Schulz-Topic-Oaks/One-By-One-Oaks?utm_source=application&utm_campaign=api&utm_medium=Demirro%3A1409621126359,https://www.musixmatch.com/lyrics/Robin-Schulz-Topic-Oaks/One-By-One-Oaks/edit?utm_source=application&utm_campaign=api&utm_medium=Demirro%3A1409621126359,0,2024-01-21T22:32:47Z,[]
8,263060846,Dreaming,[],90,164286952,0,0,1,1,0,4,58960596,TRUSTFALL (Tour Deluxe Edition),6677,P!nk,https://www.musixmatch.com/lyrics/P-nk/Dreaming?utm_source=application&utm_campaign=api&utm_medium=Demirro%3A1409621126359,https://www.musixmatch.com/lyrics/P-nk/Dreaming/edit?utm_source=application&utm_campaign=api&utm_medium=Demirro%3A1409621126359,0,2023-12-01T23:11:42Z,"[{'music_genre': {'music_genre_id': 14, 'music_genre_parent_id': 34, 'music_genre_name': 'Pop', 'music_genre_name_extended': 'Pop', 'music_genre_vanity': 'Pop'}}]"
9,265274694,Lovin On Me,[],99,167440301,0,1,1,1,1,8,59442217,Lovin On Me,28830691,Jack Harlow,https://www.musixmatch.com/lyrics/Jack-Harlow/Lovin-On-Me-1?utm_source=application&utm_campaign=api&utm_medium=Demirro%3A1409621126359,https://www.musixmatch.com/lyrics/Jack-Harlow/Lovin-On-Me-1/edit?utm_source=application&utm_campaign=api&utm_medium=Demirro%3A1409621126359,0,2024-01-08T08:22:17Z,"[{'music_genre': {'music_genre_id': 18, 'music_genre_parent_id': 34, 'music_genre_name': 'Hip Hop/Rap', 'music_genre_name_extended': 'Hip-Hop/Rap', 'music_genre_vanity': 'Hip-Hop-Rap'}}]"
